1.0,853.88777026,1.0,2.0,814.06035295,42.535940617,254.20613627,0.0,501.0,0.0,0.0,-1.0,1.0,1.0,257.35234427,1.0,2.0,186.5244303,61.804785327,-166.18975454,0.0,502.0,0.0,0.0,-1.0,3.0,1.0,249.43242931,1.0,2.0,193.88747114,-31.980637229,-130.89770134,80.419002446,0.0,0.0,0.0,0.0,24.0,1.0,2606.9048643,1.0,2.0,2604.306235,-72.360088715,42.881319608,80.419002446,0.0,0.0,0.0,-1.0,24.0
1.0,641.82319007,1.0,2.0,-559.98800585,111.8418476,292.98778429,0.0,501.0,0.0,0.0,-1.0,1.0,1.0,339.91762981,1.0,2.0,127.31426502,-196.96729829,-246.04665489,0.0,502.0,0.0,0.0,-1.0,1.0,1.0,82.619923548,1.0,2.0,-15.513553162,-9.6160958844,5.0691400553,80.419002446,0.0,0.0,0.0,-1.0,24.0,1.0,1815.634619,1.0,2.0,-1810.6299525,94.741546574,-52.010269451,80.419002446,0.0,0.0,0.0,0.0,24.0
1.0,2500.156853,1.0,2.0,-2490.1178683,-179.97888031,133.05974053,0.0,502.0,0.0,0.0,-1.0,2.0,1.0,1097.1979856,1.0,2.0,1066.4337137,152.49112741,-208.10816905,0.0,0.0,502.0,0.0,1.0,-1.0,1.0,96.48109831,1.0,2.0,-24.939818987,-25.863212533,39.376211641,80.419002446,0.0,0.0,0.0,0.0,-24.0,1.0,2337.8980687,1.0,2.0,-2335.6329615,53.35096543,35.672216885,80.419002446,0.0,0.0,0.0,0.0,-24.0
1.0,892.54234181,1.0,2.0,891.11729113,-19.076612451,46.667850025,0.0,502.0,0.0,0.0,-1.0,1.0,1.0,87.227494151,1.0,2.0,50.276469818,32.985102706,-63.189360798,0.0,0.0,502.0,0.0,1.0,-4.0,1.0,1278.7563725,1.0,2.0,1275.9488142,4.3426682333,-26.199410491,80.419002446,0.0,0.0,0.0,0.0,24.0,1.0,188.16430887,1.0,2.0,163.64720981,-18.251158488,42.720921264,80.419002446,0.0,0.0,0.0,0.0,24.0
1.0,225.32125599,1.0,2.0,-27.3472652,-0.73400593023,223.65432418,0.0,0.0,502.0,0.0,1.0,-1.0,1.0,386.50639255,1.0,2.0,-367.50489327,20.37113248,-117.95067554,0.0,0.0,501.0,0.0,1.0,-1.0,1.0,168.49970541,1.0,2.0,-146.14165043,2.1991319273,-23.721648267,80.419002446,0.0,0.0,0.0,1.0,-24.0,1.0,293.36039873,1.0,2.0,-269.06363006,-21.836258477,-81.98200037,80.419002446,0.0,0.0,0.0,0.0,-24.0
1.0,1083.9016077,1.0,2.0,975.48983716,-418.65782626,-219.0614007,0.0,501.0,0.0,0.0,-1.0,1.0,1.0,344.72677274,1.0,2.0,15.565975907,314.03426101,141.33906449,0.0,502.0,0.0,0.0,-1.0,3.0,1.0,145.36392393,1.0,2.0,71.152995609,96.24895396,18.353324013,80.419002446,0.0,0.0,0.0,0.0,24.0,1.0,448.9951173,1.0,2.0,437.64664477,8.3746112898,59.369012196,80.419002446,0.0,0.0,0.0,-1.0,24.0
1.0,116.62553553,1.0,2.0,18.409512955,-113.72877475,-18.121014429,0.0,0.0,502.0,0.0,1.0,-2.0,1.0,360.57369235,1.0,2.0,-277.04576036,143.27594511,180.91721266,0.0,0.0,501.0,0.0,1.0,-4.0,1.0,108.87654024,1.0,2.0,61.410759588,-26.814262321,-29.943263079,80.419002446,0.0,0.0,0.0,-1.0,24.0,1.0,184.28818127,1.0,2.0,99.184407223,-2.7329080343,-132.85293515,80.419002446,0.0,0.0,0.0,1.0,24.0
1.0,334.16193649,1.0,2.0,327.09882684,-55.991142196,-39.186085218,0.0,501.0,0.0,0.0,-1.0,2.0,1.0,156.56287404,1.0,2.0,99.73071405,-35.463983178,-115.36040959,0.0,502.0,0.0,0.0,-1.0,2.0,1.0,130.19645737,1.0,2.0,-13.634222877,83.734405063,57.328517611,80.419002446,0.0,0.0,0.0,-1.0,-24.0,1.0,161.01402441,1.0,2.0,99.736430116,7.7207203103,97.217977192,80.419002446,0.0,0.0,0.0,1.0,-24.0
1.0,404.77971102,1.0,2.0,-383.76030453,123.07835973,-37.767187919,0.0,502.0,0.0,0.0,-1.0,1.0,1.0,149.14349506,1.0,2.0,25.146827838,-32.507083154,143.36913445,0.0,0.0,502.0,0.0,1.0,-4.0,1.0,205.50948266,1.0,2.0,162.09275097,-94.909318966,-22.02482153,80.419002446,0.0,0.0,0.0,0.0,24.0,1.0,513.44238834,1.0,2.0,-500.15189268,4.3380423874,-83.577125,80.419002446,0.0,0.0,0.0,-1.0,24.0
1.0,382.31174908,1.0,2.0,-305.44369454,219.4381952,68.65348818,0.0,501.0,0.0,0.0,-1.0,1.0,1.0,914.93316233,1.0,2.0,900.19643576,-163.42095193,6.5315419533,0.0,502.0,0.0,0.0,-1.0,1.0,1.0,1222.6116838,1.0,2.0,1214.5058602,-34.723950864,-109.91758795,80.419002446,0.0,0.0,0.0,-1.0,24.0,1.0,292.85848433,1.0,2.0,-278.63797482,-21.293292399,34.732557819,80.419002446,0.0,0.0,0.0,0.0,24.0
